racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM,hot_code,raceid,order_of_finish_num,popularity_num,horse_weight_num,tanshou_odds_num,tanshou_odds_at10_num,IDM_num,hot_code_num,tanshou_flag
1015140805,1110582420150215,ピエールドリュヌ　　　　　　　　　　,7,2,458,5.5,1.7,5.3,1.8,49,3,1015140,7,2,458,5.5,5.3,49.0,3.0,False
1015140806,1110456820150215,コウセイマユヒメ　　　　　　　　　　,11,13,452,124.6,22.5,36.5,8.1,44,3,1015140,11,13,452,124.6,36.5,44.0,3.0,False
1015140807,1110449020150215,ガーリッシュハート　　　　　　　　　,10,8,474,15.1,3.2,10.4,2.4,45,3,1015140,10,8,474,15.1,10.4,45.0,3.0,False
1015140808,1110562620150215,テイエムサンビカ　　　　　　　　　　,2,11,460,84.6,19,48.2,8.1,48,3,1015140,2,11,460,84.6,48.2,48.0,3.0,False
1015140809,1110518020150215,マイネリベルタス　　　　　　　　　　,4,4,420,6.3,1.7,6.7,1.7,51,3,1015140,4,4,420,6.3,6.7,51.0,3.0,False
1015140810,1110094120150215,クリノハッチャン　　　　　　　　　　,9,12,450,118.3,13.8,39,7.8,48,3,1015140,9,12,450,118.3,39.0,48.0,3.0,False
1015140811,1110428920150215,クイーンズシアター　　　　　　　　　,12,6,464,10.8,3.6,7,3.2,41,3,1015140,12,6,464,10.8,7.0,41.0,3.0,False
1015140812,1110334820150215,ヤマニンエルフィン　　　　　　　　　,13,9,458,28.6,4.3,14.5,2.8,36,3,1015140,13,9,458,28.6,14.5,36.0,3.0,False
1015140813,1110417020150215,スペランツァデーア　　　　　　　　　,3,10,434,29.7,5.8,30.3,5.2,50,3,1015140,3,10,434,29.7,30.3,50.0,3.0,False
1015140901,1110173220150215,サビーナクレスタ　　　　　　　　　　,1,7,486,15.6,4,11.2,2.3,52,3,1015140,1,7,486,15.6,11.2,52.0,3.0,True
1015140902,1010532820150215,ケージーサクランボ　　　　　　　　　,3,14,430,43.8,7.8,39.3,6.4,45,3,1015140,3,14,430,43.8,39.3,45.0,3.0,False
1015140903,1110914720150215,クラウンデュナミス　　　　　　　　　,9,6,466,10.9,2.7,7.1,4.6,42,3,1015140,9,6,466,10.9,7.1,42.0,3.0,False
1015140904,1010201520150215,フィボナッチ　　　　　　　　　　　　,13,4,474,9.8,2.6,12.2,4.4,40,3,1015140,13,4,474,9.8,12.2,40.0,3.0,False
1015140905,1110575620150215,ケープオブホープ　　　　　　　　　　,12,16,430,106.7,12.8,57.9,7.7,39,3,1015140,12,16,430,106.7,57.9,39.0,3.0,False
1015140906,1010616620150215,ノンブルドール　　　　　　　　　　　,10,17,448,115,22.9,101.1,8.7,42,3,1015140,10,17,448,115.0,101.1,42.0,3.0,False
1015140907,1010096620150215,デルマコナキジジ　　　　　　　　　　,16,18,486,167.7,28.2,84.9,12.9,38,3,1015140,16,18,486,167.7,84.9,38.0,3.0,False
1015140908,1110611620150215,シャルマンウーマン　　　　　　　　　,17,1,502,3.4,1.6,8.1,1.9,34,3,1015140,17,1,502,3.4,8.1,34.0,3.0,False
1015140909,1110402520150215,ビアンコカンドーレ　　　　　　　　　,11,3,454,9.3,2.3,9,3.8,41,3,1015140,11,3,454,9.3,9.0,41.0,3.0,False
1015140910,1110584920150215,ナムラアッパー　　　　　　　　　　　,2,9,426,19.7,3.5,13.4,3,46,5,1015140,2,9,426,19.7,13.4,46.0,5.0,False
1015140911,1110260220150215,サウンドカール　　　　　　　　　　　,5,8,476,18.7,5,17.8,4,45,3,1015140,5,8,476,18.7,17.8,45.0,3.0,False
1015140912,1010912020150215,ジャストザオネスト　　　　　　　　　,7,11,512,28.6,4.9,31.9,6,43,3,1015140,7,11,512,28.6,31.9,43.0,3.0,False
1015140913,1110206320150215,トウケイタイガー　　　　　　　　　　,18,5,464,9.8,3.3,6.1,3,36,3,1015140,18,5,464,9.8,6.1,36.0,3.0,False
1015140914,1010396420150215,サンライズテナンゴ　　　　　　　　　,14,12,472,35.5,7.5,40,10.2,38,3,1015140,14,12,472,35.5,40.0,38.0,3.0,False
1015140915,1010264420150215,テイエムシングン　　　　　　　　　　,4,15,512,64,14,57.9,5.9,45,3,1015140,4,15,512,64.0,57.9,45.0,3.0,False
1015140916,1010289020150215,ジンセイハオマツリ　　　　　　　　　,6,2,500,4.7,1.7,5.9,1.7,44,3,1015140,6,2,500,4.7,5.9,44.0,3.0,False
1015140917,910443920150215,アラカメジョウ　　　　　　　　　　　,8,10,458,27.7,5.5,13,6.5,42,3,1015140,8,10,458,27.7,13.0,42.0,3.0,False
1015140918,1110130220150215,シャインシュラーク　　　　　　　　　,15,13,450,39.7,8.2,30.2,6.4,40,3,1015140,15,13,450,39.7,30.2,40.0,3.0,False
1015141001,910344120150215,ベネフィットユー　　　　　　　　　　,4,3,460,6.1,1.8,7.8,1.6,50,3,1015141,4,3,460,6.1,7.8,50.0,3.0,False
1015141002,1110217720150215,マイネルピクトル　　　　　　　　　　,2,9,498,41.7,6,21.6,5.5,50,3,1015141,2,9,498,41.7,21.6,50.0,3.0,False
1015141003,1010381420150215,レッドムーヴ　　　　　　　　　　　　,11,12,454,94.7,10.4,42.6,7.1,40,3,1015141,11,12,454,94.7,42.6,40.0,3.0,False
1015141004,1010447720150215,サダムダイジョウブ　　　　　　　　　,7,7,488,16.7,3.1,28.5,6.1,49,3,1015141,7,7,488,16.7,28.5,49.0,3.0,False
1015141005,1110077120150215,フミノスナイパー　　　　　　　　　　,9,6,494,10.3,2.5,8.1,3.3,47,3,1015141,9,6,494,10.3,8.1,47.0,3.0,False
1015141006,1010477420150215,テイエムレンジャー　　　　　　　　　,12,8,516,22.3,4.5,17.6,5.2,39,5,1015141,12,8,516,22.3,17.6,39.0,5.0,False
1015141007,1110588920150215,インターンシップ　　　　　　　　　　,8,2,448,3.9,1.6,7.2,1.9,48,3,1015141,8,2,448,3.9,7.2,48.0,3.0,False
1015141008,910112520150215,マイネルアルティマ　　　　　　　　　,10,11,472,61.2,11.9,23.4,8.4,43,3,1015141,10,11,472,61.2,23.4,43.0,3.0,False
1015141009,1110402120150215,エーデルグランツ　　　　　　　　　　,3,4,484,7.3,2.1,6.7,2,49,3,1015141,3,4,484,7.3,6.7,49.0,3.0,False
1015141010,1110377920150215,ナイトジャスミン　　　　　　　　　　,6,10,392,41.9,5.6,25.9,4.5,48,3,1015141,6,10,392,41.9,25.9,48.0,3.0,False
1015141011,1010911820150215,グリーンラヴ　　　　　　　　　　　　,4,5,488,7.7,1.9,3.8,1.5,50,5,1015141,4,5,488,7.7,3.8,50.0,5.0,False
1015141012,1010437020150215,カレンバッドボーイ　　　　　　　　　,1,1,486,3.4,1.4,4.6,1.5,53,3,1015141,1,1,486,3.4,4.6,53.0,3.0,True
1015141101,1010487420150215,クリノアマダブラム　　　　　　　　　,10,13,440,43.4,8.3,33,6.2,47,3,1015141,10,13,440,43.4,33.0,47.0,3.0,False
