,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_class_weight,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,144.53846702575683,2.7825591564178467,0.0,0.0,0.1,{1: 1},0.1,"{'C': 0.1, 'class_weight': {1: 1}, 'gamma': 0.1}",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.232121342988272,0.8222086959822823,0.0,0.0
1,363.37638397216796,6.103549194335938,0.0,0.0,0.1,{1: 1},1,"{'C': 0.1, 'class_weight': {1: 1}, 'gamma': 1}",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.05818296421779,2.0231535333576764,0.0,0.0
2,481.3885338783264,6.446968746185303,0.0,0.0,0.1,{1: 1},10,"{'C': 0.1, 'class_weight': {1: 1}, 'gamma': 10}",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.15853347699846,2.000521031012776,0.0,0.0
3,195.05575647354127,2.6247502326965333,0.3465429304364036,0.49004403004773306,0.1,{1: 5},0.1,"{'C': 0.1, 'class_weight': {1: 5}, 'gamma': 0.1}",3,0.38288288288288286,0.48523622047244097,0.3233082706766917,0.4715162138475022,0.34649122807017546,0.49349442379182157,0.36752136752136755,0.499009900990099,0.3125,0.5009633911368016,4.398184837112545,0.01590824539016319,0.02630476714723589,0.010750995408795204
4,496.14977822303774,6.269358539581299,0.0,0.9761904761904763,0.1,{1: 5},1,"{'C': 0.1, 'class_weight': {1: 5}, 'gamma': 1}",32,0.0,1.0,0.0,1.0,0.0,0.9583333333333334,0.0,0.9642857142857143,0.0,0.9583333333333334,158.80396781081274,1.9303148442003373,0.0,0.019561519910898773
5,576.2185578823089,6.375164556503296,0.0,1.0,0.1,{1: 5},10,"{'C': 0.1, 'class_weight': {1: 5}, 'gamma': 10}",32,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,188.51816543122774,2.018355731176566,0.0,0.0
6,220.32500190734862,2.8051604270935058,0.26034755049999375,0.3966705515497841,0.1,{1: 10},0.1,"{'C': 0.1, 'class_weight': {1: 10}, 'gamma': 0.1}",22,0.28498293515358364,0.3947467166979362,0.23114754098360657,0.3904904530138525,0.2512998266897747,0.41038858049167326,0.26570048309178745,0.3862472567666423,0.26860254083484575,0.4014797507788162,4.48677603667971,0.06723777320341438,0.01810216387466413,0.008507085844897906
7,494.675093793869,6.081347799301147,0.3580940622125912,0.9782591006879832,0.1,{1: 10},1,"{'C': 0.1, 'class_weight': {1: 10}, 'gamma': 1}",2,0.35714285714285715,0.9802955665024631,0.3333333333333333,0.9763071895424836,0.4,0.9732793522267207,0.3,0.980327868852459,0.4,0.9810855263157895,141.62088282191502,2.0052169251053544,0.038730548835343624,0.0030007841781369725
8,492.1503493785858,5.630721998214722,0.2833362730399506,1.0,0.1,{1: 10},10,"{'C': 0.1, 'class_weight': {1: 10}, 'gamma': 10}",21,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.3333333333333333,1.0,11.594681052820723,0.26454385421109267,0.04082542900123744,0.0
9,226.78657150268555,3.972427177429199,0.2267520583686376,0.3483209935060452,0.1,{1: 15},0.1,"{'C': 0.1, 'class_weight': {1: 15}, 'gamma': 0.1}",28,0.2529182879377432,0.346045197740113,0.2029520295202952,0.3497159090909091,0.2185929648241206,0.3560254924681344,0.23464373464373464,0.3416597280044407,0.2246469833119384,0.3481586402266289,70.37274736021503,1.237125913034126,0.01664113762233155,0.0047092070836642595
10,186.8960897922516,6.322961759567261,0.2498901633875188,0.8590437944345544,0.1,{1: 15},1,"{'C': 0.1, 'class_weight': {1: 15}, 'gamma': 1}",24,0.2803738317757009,0.8552901023890785,0.26804123711340205,0.8471940500338067,0.19626168224299065,0.8660220994475138,0.2689075630252101,0.8594928032899246,0.2358490566037736,0.8672199170124482,53.20742196864148,1.9289430060208312,0.03063790195050786,0.007351924599044269
11,157.1087860584259,5.464112615585327,0.30835267049439374,0.9623847541490391,0.1,{1: 15},10,"{'C': 0.1, 'class_weight': {1: 15}, 'gamma': 10}",12,0.3,0.9616270145817345,0.2727272727272727,0.9601532567049809,0.35,0.9631336405529954,0.2857142857142857,0.9623944742900997,0.3333333333333333,0.9646153846153847,1.4738658190314369,0.0646795567582224,0.02901627051102676,0.001489321167462498
12,204.08207273483276,2.699354410171509,0.4125793805938595,0.926147058048193,1,{1: 1},0.1,"{'C': 1, 'class_weight': {1: 1}, 'gamma': 0.1}",1,0.4444444444444444,0.9387755102040817,0.36363636363636365,0.915129151291513,0.4411764705882353,0.9244604316546763,0.45,0.9169960474308301,0.36363636363636365,0.935374149659864,62.32890459818827,0.8418298675098891,0.04006053117430041,0.009514168346976317
13,488.9135642528534,6.972198724746704,0.32413093173301305,0.9993803003457588,1,{1: 1},1,"{'C': 1, 'class_weight': {1: 1}, 'gamma': 1}",5,0.38095238095238093,1.0,0.3,1.0,0.42857142857142855,0.9989754098360656,0.1111111111111111,0.9989506820566632,0.4,0.9989754098360656,146.02814447011397,2.4104856283036544,0.11475643470151589,0.0005060632069095831
