racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM
216220101,1410370320160710,マイネルトルペード　　　　　　　　　,2,4,412,15.8,1.3,14.4,1.4,31
216220102,1410026420160710,アントレーン　　　　　　　　　　　　,6,2,418,6.9,1,6.4,1.1,18
216220103,1410432120160710,ジャストヒーロー　　　　　　　　　　,8,9,458,145.4,10,58.3,10.1,11
216220104,1410141620160710,サツキチャン　　　　　　　　　　　　,7,5,408,19.8,1.5,16.4,1.4,15
216220105,1410515620160710,サクセスムーン　　　　　　　　　　　,4,8,442,102.3,7.9,39.1,5.4,29
216220106,1410072320160710,マイネルヘミニス　　　　　　　　　　,3,3,460,14.5,1.7,12.3,1.7,28
216220107,1410167820160710,ピーチメルバ　　　　　　　　　　　　,5,7,452,97.2,7.9,44.4,4.9,21
216220108,1410112620160710,キップヨシ　　　　　　　　　　　　　,0,6,470,49.9,3.8,26.4,4.8,   
216220109,1410444520160710,エスケークラウン　　　　　　　　　　,1,1,492,1.1,1,1.3,1,36
216220201,1310080720160710,サンポーツマス　　　　　　　　　　　,8,9,484,61.9,10.5,21.6,6.2,31
216220202,1310451920160710,クインズジュエリー　　　　　　　　　,12,8,434,24.6,4.6,18.4,4.5,23
216220203,1310599020160710,キャンベルアーリー　　　　　　　　　,10,7,436,16.4,3.1,8.5,2.8,26
216220204,1310454320160710,フジワンエンジェル　　　　　　　　　,5,1,448,3.7,1.3,6.2,1.4,35
216220205,1310402420160710,アカプルコノユウヒ　　　　　　　　　,6,10,442,63.1,7.6,28.3,6.7,34
216220206,1310438120160710,ゴセイバイシキモク　　　　　　　　　,7,11,478,137.9,18,62.8,9,30
216220207,1310365520160710,グランジュテ　　　　　　　　　　　　,3,5,436,7.9,2.1,6.9,2.2,36
216220208,1310282020160710,トルシュローズ　　　　　　　　　　　,1,2,454,3.7,1.3,5.1,1.6,51
216220209,1310157720160710,フレッシュギャル　　　　　　　　　　,2,6,436,10.5,2.8,6.7,2.6,38
216220210,1310365120160710,イネディット　　　　　　　　　　　　,11,12,394,184.7,24.1,70.9,9.6,23
216220211,1311009320160710,サーブルクーリール　　　　　　　　　,9,3,458,4.9,1.5,5.8,1.8,29
216220212,1310096820160710,アンペラール　　　　　　　　　　　　,4,4,438,6.8,1.8,6.8,1.9,38
216220301,1310167720160710,オーゴンワンダー　　　　　　　　　　,10,16,414,177.6,23.2,64.1,7.8,33
216220302,1310124420160710,アルファジェイド　　　　　　　　　　,15,11,486,82.5,14.9,27.6,5.8,12
216220303,1310547320160710,ポケットチャーリー　　　　　　　　　,5,3,430,5.9,1.6,9.9,2,42
216220304,1310460820160710,タイセイフラム　　　　　　　　　　　,11,15,420,175.2,23.4,99.1,9.9,33
216220305,1310356520160710,アルビオン　　　　　　　　　　　　　,2,6,422,11.6,2.5,13.9,3.2,43
216220306,1310374320160710,ダーリンラブラ　　　　　　　　　　　,9,7,446,19.1,3,18.4,4.1,37
216220307,1310610620160710,サトノオニキス　　　　　　　　　　　,1,1,412,3.4,1.4,3.4,1.9,44
216220308,1310258920160710,スイートメモリーズ　　　　　　　　　,3,2,502,3.9,1.4,7.4,1.9,43
216220309,1310596520160710,クラシカルチュチュ　　　　　　　　　,7,4,460,6.9,2.1,5.6,2.3,41
216220310,1310205920160710,ジャスミンノカオリ　　　　　　　　　,8,5,446,9,2.5,5.9,2,39
216220311,1310038020160710,ワンダーラスト　　　　　　　　　　　,12,12,416,101,17.7,33.1,7.2,27
216220312,1310159620160710,レッドイリス　　　　　　　　　　　　,13,14,384,160.7,38.9,44.7,11.3,17
216220313,1310606720160710,アドマイヤディーバ　　　　　　　　　,6,8,418,22.2,4.2,26.3,4.9,41
216220314,1310539820160710,エアエマイユ　　　　　　　　　　　　,14,13,392,155.5,37.2,47.8,16.1,18
216220315,1310616720160710,ハッピーチャンス　　　　　　　　　　,0,10,452,54.5,9.8,32.7,7.4,   
216220316,1310640020160710,ラブミーリル　　　　　　　　　　　　,4,9,382,25.2,5.5,18.5,5.7,40
216220401,1310448820160710,ダンツペレット　　　　　　　　　　　,4,2,492,5.6,1.4,7.3,1.4,35
216220402,1310110320160710,ブラックスナイパー　　　　　　　　　,7,13,484,256.9,30.6,82.9,8.1,22
216220403,1310632120160710,アタックガール　　　　　　　　　　　,2,4,418,6.5,1.4,9.4,2.2,42
216220404,1310146520160710,ウインミダス　　　　　　　　　　　　,12,11,452,84.9,11.4,32.1,6.4,-25
216220405,1310593520160710,アシャカクール　　　　　　　　　　　,10,9,414,61.4,14.4,70,11.4,21
216220406,1310449020160710,リルージュ　　　　　　　　　　　　　,0,10,450,82.9,9.5,33.5,8.1,   
216220407,1310009420160710,イエスアイゲット　　　　　　　　　　,5,7,422,25.1,3.1,20.6,3.7,28
216220408,1310500920160710,キンショードリーム　　　　　　　　　,9,8,492,34.2,5.9,32,6.3,23
216220409,1310092220160710,アメンボ　　　　　　　　　　　　　　,11,6,460,12.2,2.9,6,2.5,17
216220410,1310271420160710,アッテンツィオーネ　　　　　　　　　,6,3,464,5.8,1.6,11.6,1.5,28
216220411,1310404520160710,ロバストミノル　　　　　　　　　　　,3,1,492,2.1,1.2,2.7,1.2,42
216220412,1310281820160710,メイショウレンマ　　　　　　　　　　,1,5,460,10.9,2.7,4.4,2.4,42
216220413,1310445020160710,ギフトアワード　　　　　　　　　　　,8,12,430,199,15.8,88.7,6.8,20
216220501,1410070120160710,マイネルパンドーロ　　　　　　　　　,3,8,446,23.8,5,11.1,2.6,28
216220502,1410358820160710,ロザンジェ　　　　　　　　　　　　　,7,7,452,21.6,3.6,19.5,4.2,22
216220503,1410545020160710,ホウオウステップ　　　　　　　　　　,9,6,448,15.8,2.9,9.1,1.6,15
216220504,1410392320160710,イエローダイヤ　　　　　　　　　　　,6,5,458,8.2,1.8,8,2.3,24
216220505,1410073320160710,マイネルスフェーン　　　　　　　　　,5,4,422,6.5,1.5,4.4,1.6,24
216220506,1410507120160710,アスカショウダイ　　　　　　　　　　,8,9,434,101,13.9,61.6,8.4,19
216220507,1410620520160710,サトノアリシア　　　　　　　　　　　,2,3,464,4.9,1.5,5.7,1.8,35
216220508,1410052220160710,タガノアシュラ　　　　　　　　　　　,1,1,502,3.4,1.2,3.9,1.5,42
216220509,1410289520160710,サテンドール　　　　　　　　　　　　,4,2,456,3.8,1.3,6.6,1.9,25
216220601,1310014220160710,キタノタイセツ　　　　　　　　　　　,15,8,414,37.7,6.8,12.7,3.1,27
216220602,1310614920160710,ハンナ　　　　　　　　　　　　　　　,12,5,404,8.2,2,11.5,2.7,37
216220603,1310342820160710,カゼノシッポ　　　　　　　　　　　　,1,1,428,2.2,1.1,2.5,1.4,50
216220604,1310185820160710,ノーアトゥーン　　　　　　　　　　　,8,11,488,46.3,8.1,20.1,2.8,39
216220605,1310222620160710,ダートリーダー　　　　　　　　　　　,5,7,448,26.2,3.5,26.8,4.1,39
216220606,1310360020160710,アドマイヤヒナタ　　　　　　　　　　,4,6,404,15.1,3.1,16.8,3.4,42
216220607,1310245220160710,マニワッショイ　　　　　　　　　　　,6,14,468,131.4,14.7,43.5,10.1,42
216220608,1310234620160710,マイネルゴール　　　　　　　　　　　,13,15,450,138.5,23.5,47.9,7.8,37
216220609,1310436620160710,スリーアリアン　　　　　　　　　　　,9,13,446,87.1,12.7,38,7.7,38
216220610,1310002220160710,アポロノホウリン　　　　　　　　　　,11,12,472,51,8.2,29.1,4.8,37
216220611,1310397020160710,レパーズタウン　　　　　　　　　　　,14,2,434,6.2,2,18.3,3.5,33
216220612,1310530620160710,ステイインハート　　　　　　　　　　,3,9,408,37.9,5.8,7.7,2.8,40
216220613,1310324220160710,ガロンヌ　　　　　　　　　　　　　　,10,4,498,7.6,1.8,12.2,3.6,36
216220614,1310135120160710,ワタシニマカセテ　　　　　　　　　　,7,10,420,38.9,6.1,21.1,4.3,40
216220615,1310151820160710,ルピナスベル　　　　　　　　　　　　,2,3,452,6.8,1.8,7.5,3.2,45
216220701,1310234520160710,ビレッジエンパイア　　　　　　　　　,9,8,468,32.8,4.4,22.2,3.1,36
216220702,1310327420160710,エイシンキロオル　　　　　　　　　　,8,6,444,27.7,3.7,18.2,4.5,38
216220703,1310031520160710,ライディングハイ　　　　　　　　　　,6,7,480,29.4,4.8,13.7,3,36
216220704,1310331720160710,スティルプリンス　　　　　　　　　　,11,9,480,37.7,5.7,31.2,5.1,32
216220705,1210520520160710,ノボリクリーン　　　　　　　　　　　,1,1,468,2.6,1.1,2.4,1.1,51
216220706,1210099920160710,セイウンアワード　　　　　　　　　　,4,5,522,18.7,2.4,15.1,2.4,43
216220707,1010295020160710,バーニーズ　　　　　　　　　　　　　,10,3,488,4.6,1.3,8,1.7,35
216220708,1110288420160710,スズカレビン　　　　　　　　　　　　,12,12,486,143.8,22.2,37.7,8.7,37
216220709,1210624720160710,ハードアスリート　　　　　　　　　　,5,10,508,41.5,5.1,17.4,2.1,43
216220710,1210120020160710,ラッキーダン　　　　　　　　　　　　,7,4,466,17.5,2.2,16.9,3.6,39
216220711,1110008320160710,マダムアグライア　　　　　　　　　　,2,11,484,78.7,6.8,52,7.5,47
216220712,1310437820160710,パルパルパンダ　　　　　　　　　　　,3,2,468,2.6,1.2,3.3,1.1,42
216220801,1310201620160710,バレエダンサー　　　　　　　　　　　,5,6,456,21.2,2.9,19,4,45
216220802,1310180320160710,フィエスタオーレ　　　　　　　　　　,7,5,432,18.3,2.8,13.7,3.7,42
216220803,1210457820160710,ノーブルリーズン　　　　　　　　　　,10,7,438,24.8,3.2,6.6,2.3,34
216220804,1310614020160710,シャインブライト　　　　　　　　　　,3,4,476,9.2,1.7,10,1.1,48
216220805,1310609920160710,ミッキーロケット　　　　　　　　　　,1,1,476,1.9,1.1,2.1,1.1,56
216220806,1110472520160710,マイネルプレッジ　　　　　　　　　　,6,3,442,8.6,1.4,12.1,1.8,48
216220807,1110338620160710,ハギノフェリス　　　　　　　　　　　,11,10,416,151.7,17,41.6,12,34
216220808,1110631420160710,ウインレーベン　　　　　　　　　　　,4,8,460,32.9,3.7,19.2,3.4,46
216220809,1210412520160710,ロングスピーク　　　　　　　　　　　,2,2,576,3.3,1.1,4.8,1.3,55
216220810,1210613620160710,ワイドヴィンチェレ　　　　　　　　　,9,11,418,225.1,24.5,58.7,13,39
216220811,1110644020160710,ライトパープル　　　　　　　　　　　,8,9,476,65.2,6.5,22.6,5,44
216220901,910576620160710,パラティーノ　　　　　　　　　　　　,2,5,532,14.1,2.3,14.6,3.9,45
216220902,1310184620160710,エルパンドール　　　　　　　　　　　,7,7,478,23.1,3.7,27.6,4.1,34
216220903,1310267220160710,サンアンダーソン　　　　　　　　　　,11,8,536,30.9,6.3,30,6.5,3
216220904,1210545120160710,ニシオボヌール　　　　　　　　　　　,5,1,480,2.7,1.1,3.5,1.5,42
216220905,1310491120160710,ジュアンマリエ　　　　　　　　　　　,1,6,448,19.2,3,13.6,3,49
216220906,1310570520160710,トゥールエッフェル　　　　　　　　　,6,10,512,42.4,7.8,20.7,3.3,38
216220907,1310479020160710,スクリューネイバー　　　　　　　　　,8,9,502,32.7,6.3,18.3,3.9,32
216220908,1111002020160710,サリレモンド　　　　　　　　　　　　,9,2,522,3.4,1.2,5.6,1.4,32
216220909,1311008420160710,ベストドライヴ　　　　　　　　　　　,4,4,524,7.8,1.7,2.9,1.2,44
216220910,1210146620160710,イワヌガハナ　　　　　　　　　　　　,10,11,476,74.1,11.3,26.8,3.7,28
216220911,1210288320160710,パパラヴズマンボ　　　　　　　　　　,3,3,436,5,1.4,9.2,2,45
216221001,1210484120160710,リミットブレイク　　　　　　　　　　,12,4,508,11.4,2.3,9.3,1.9,45
216221002,1210120520160710,アズマクィーン　　　　　　　　　　　,2,1,472,2.2,1.2,2.2,1.4,54
216221003,1110573020160710,コスモマイルール　　　　　　　　　　,5,8,450,20.5,3.1,14.6,3.3,50
216221004,1110205120160710,アイファーマシェリ　　　　　　　　　,13,13,458,187.6,44.1,60.7,15.2,35
216221005,1010289020160710,ジンセイハオマツリ　　　　　　　　　,7,11,492,54.1,7.3,24,6.5,51
216221006,1010489020160710,トミケンフィアブル　　　　　　　　　,0,14,478,227,40.2,87.6,12.1,   
216221007,1310293520160710,カネトシボヌール　　　　　　　　　　,10,3,448,6.4,1.7,11.5,2.8,47
216221008,1210101520160710,セレッソブランコ　　　　　　　　　　,4,2,470,5.1,1.6,8,2,51
216221009,1110526020160710,ベルモントラハイナ　　　　　　　　　,3,6,472,13.2,2.7,9.9,2.4,53
216221010,1110018720160710,クリノツネチャン　　　　　　　　　　,6,10,454,40.4,5.9,29.8,5.4,50
216221011,1310475420160710,タイセイエクレール　　　　　　　　　,11,5,506,13.2,2.5,9.8,2.8,44
216221012,1110064720160710,オートクレール　　　　　　　　　　　,1,7,434,13.8,2.8,16.6,3.4,57
216221013,1210438520160710,レッドファーレン　　　　　　　　　　,8,9,446,31.9,6.7,26.1,4.3,47
216221014,1210613420160710,シードパール　　　　　　　　　　　　,9,12,440,91.2,13.9,48.2,4.7,47
216221101,910265820160710,ヴァンヌーヴォー　　　　　　　　　　,10,11,500,51.9,12.6,30,6.2,55
216221102,1010033820160710,クリノヒマラヤオー　　　　　　　　　,11,9,488,16.7,4.6,12.2,3.9,51
216221103,1010468020160710,ヒラボクプリンス　　　　　　　　　　,2,6,494,10.7,3,10.2,2.8,63
216221104,1010445820160710,ライズトゥフェイム　　　　　　　　　,9,7,490,13.6,4.5,11.3,3.7,56
216221105,1010456220160710,ソロル　　　　　　　　　　　　　　　,12,5,502,7.3,2.3,8.2,2.3,55
216221106,910353920160710,イッシンドウタイ　　　　　　　　　　,6,4,518,6.1,1.8,6.6,2,62
216221107,1110441720160710,バンズーム　　　　　　　　　　　　　,7,1,476,4.4,1.5,4.7,2,59
216221108,910657220160710,イースターパレード　　　　　　　　　,8,8,504,15.4,2.9,14.1,2.9,58
216221109,910126620160710,トミケンユークアイ　　　　　　　　　,3,10,484,23.6,5.4,15,3.9,62
216221110,810225120160710,ウォータールルド　　　　　　　　　　,4,12,496,52.7,9.8,43.6,5.6,62
216221111,1010360820160710,ショウナンアポロン　　　　　　　　　,1,2,504,5.3,1.9,6.7,2.7,68
216221112,910654520160710,ナリタスーパーワン　　　　　　　　　,5,3,484,6,1.8,6.1,1.5,61
216221201,1110257720160710,ベストセラーアスク　　　　　　　　　,12,10,426,58.7,6.3,39.5,4.9,47
216221202,1110342520160710,ハナフブキ　　　　　　　　　　　　　,3,11,416,106.1,13.5,35.3,6.5,55
216221203,1110505320160710,ヤマニンバステト　　　　　　　　　　,8,6,458,13.1,2,14.5,2.9,53
216221204,1210347720160710,カルシャン　　　　　　　　　　　　　,9,13,438,269.5,40.8,137.8,17.9,51
216221205,1310478320160710,エテルナミノル　　　　　　　　　　　,6,3,444,7.2,1.8,7.8,2,53
216221206,1110464320160710,ハツガツオ　　　　　　　　　　　　　,2,5,510,12.6,1.7,11.7,2,56
216221207,1310559820160710,フライングレディ　　　　　　　　　　,7,2,420,5.8,1.5,3.7,2.2,50
216221208,1210539720160710,パワーウーマン　　　　　　　　　　　,10,4,510,9.7,2.2,10.4,2.7,51
216221209,1010117220160710,ヤマトダイアンサス　　　　　　　　　,13,7,500,37.3,5,11.6,2.4,45
216221210,1110556920160710,エイシンノーティス　　　　　　　　　,5,8,464,42,4.3,37.8,3.4,54
216221211,1110381920160710,パープルセイル　　　　　　　　　　　,4,9,462,46,7.6,29.3,4.5,54
216221212,1210440720160710,マキシマムドパリ　　　　　　　　　　,1,1,460,1.7,1.1,2.5,1.1,61
216221213,1110290020160710,ツクバアスナロ　　　　　　　　　　　,11,12,464,166.3,20.2,61.7,8.9,50
316240101,1410388920160710,パンプキンカート　　　　　　　　　　,12,12,500,142.5,11.4,91.7,10.2,14
316240102,1410508720160710,セイプレジール　　　　　　　　　　　,5,5,466,19.2,1.9,15.9,1.9,30
316240103,1410331120160710,マイネルストラトス　　　　　　　　　,6,6,456,32.5,3,26.9,3.7,21
316240104,1410220020160710,アフターバーナー　　　　　　　　　　,1,1,486,1.7,1.1,1.7,1.1,45
316240105,1410502420160710,カシノルーラー　　　　　　　　　　　,10,13,468,189.8,15.1,76.9,6.2,15
316240106,1410119520160710,ダダッコ　　　　　　　　　　　　　　,8,7,478,46.2,4,39.5,4.6,19
316240107,1410092920160710,サンシアトル　　　　　　　　　　　　,15,11,454,98.7,7.5,72,7.1,-13
316240108,1410142620160710,キッド　　　　　　　　　　　　　　　,7,9,442,58.3,6,34.2,4.4,17
316240109,1410265220160710,シンボリスーマラン　　　　　　　　　,4,3,476,12.5,1.9,12.6,1.6,29
316240110,1410174220160710,シャインヴィットゥ　　　　　　　　　,3,10,456,87.5,7,66.6,6.9,35
316240111,1410361720160710,ハシルキセキ　　　　　　　　　　　　,2,2,454,3.6,1.1,4.2,1.3,42
316240112,1410350320160710,フィッシャーキング　　　　　　　　　,13,14,456,259.9,24,165.8,17.9,15
316240113,1410294020160710,バスデイプレゼント　　　　　　　　　,11,8,424,55.2,5.4,45.7,4.4,14
316240114,1410033020160710,アロハスピリット　　　　　　　　　　,14,15,452,336,28.3,158.1,22.1,6
316240115,1410274520160710,シラバブ　　　　　　　　　　　　　　,9,4,452,13.8,1.8,15.6,2.6,19
316240201,1410028820160710,セイカチトセ　　　　　　　　　　　　,4,7,452,41.5,2.6,27.5,3.5,25
316240202,1410095620160710,ガッテンパートナー　　　　　　　　　,3,3,440,17.1,1.6,19,2.3,28
316240203,1410647920160710,アネッロドーロ　　　　　　　　　　　,6,10,436,70.7,6.1,36.9,6.2,18
316240204,1410076620160710,フェスティヴワール　　　　　　　　　,9,5,426,26.2,3.3,39,3.8,-38
316240205,1410361520160710,ダイイチターミナル　　　　　　　　　,2,1,420,1.8,1.1,2.1,1.1,36
316240206,1410233220160710,スノードーナツ　　　　　　　　　　　,8,4,452,24.8,2.1,17.9,1.6,4
316240207,1410010620160710,シゲルピューマ　　　　　　　　　　　,5,6,390,27.4,1.7,32.8,1.4,19
316240208,1410606020160710,ハッピーランラン　　　　　　　　　　,1,2,480,2.4,1.1,2.2,1.1,38
316240209,1410349620160710,カーリージャール　　　　　　　　　　,7,9,410,70.3,5,37.6,5,14
316240210,1410488620160710,ネコマル　　　　　　　　　　　　　　,10,8,446,69.7,5.7,32.7,4.1,-99
316240301,1310319720160710,ワイドチキチータ　　　　　　　　　　,7,13,424,95.3,9.5,49.7,5.9,31
316240302,1310592520160710,アペリラ　　　　　　　　　　　　　　,11,7,464,33.1,5.2,20.8,3.3,31
316240303,1310607320160710,デイジーベル　　　　　　　　　　　　,3,11,460,83.7,5.9,42.2,7.1,40
316240304,1310540220160710,デルマアツヒメ　　　　　　　　　　　,14,9,404,51.2,5.5,15.1,2.3,19
316240305,1310569020160710,ダイワネーブル　　　　　　　　　　　,15,12,500,84.2,8.1,42.6,6.5,19
316240306,1310400120160710,ラチェット　　　　　　　　　　　　　,9,3,440,9.1,1.9,14.2,2.8,32
316240307,1310184920160710,ブリリアントタイム　　　　　　　　　,2,8,428,39.6,3.8,25.9,3.2,43
316240308,1310594420160710,ピッレウス　　　　　　　　　　　　　,12,14,446,117.6,10.3,60.4,8.3,31
316240309,1310161420160710,ベルクオーレ　　　　　　　　　　　　,5,4,438,11.8,1.9,15.2,3.9,40
316240310,1310160020160710,クラウングレイス　　　　　　　　　　,6,2,488,4.1,1.2,7.2,1.4,36
316240311,1310549720160710,アンジェリカス　　　　　　　　　　　,4,6,480,26.7,3.2,20.8,3.9,42
316240312,1310186820160710,シングンアルテミス　　　　　　　　　,13,5,442,25.8,2.9,14.5,2.7,29
316240313,1310026120160710,ウィンイモン　　　　　　　　　　　　,8,16,444,270.4,25.5,86.9,7.9,35
316240314,1310502420160710,ピクシーカフェ　　　　　　　　　　　,10,10,440,60.3,5.7,38.3,5.1,28
316240315,1310352420160710,オーネットハッピー　　　　　　　　　,16,15,476,149.5,13.4,103.1,12.9,16
316240316,1310584620160710,クイックモーション　　　　　　　　　,1,1,450,1.6,1.1,1.7,1.1,47
316240401,1310107820160710,スズカコメット　　　　　　　　　　　,13,13,496,196,37.1,84.9,15.1,14
316240402,1310442420160710,サムライダマシー　　　　　　　　　　,5,7,466,17.9,3.4,17,3.8,37
316240403,1310205320160710,アッキー　　　　　　　　　　　　　　,9,1,428,3.6,1.5,5.5,1.6,25
316240404,1310238420160710,ベルウッドタマド　　　　　　　　　　,1,9,474,31.9,6.5,17.5,7.1,44
316240405,1310522020160710,ゴールドレイ　　　　　　　　　　　　,11,12,482,42.3,9.7,25.9,5.4,22
316240406,1310102620160710,マコトグラディウス　　　　　　　　　,10,11,470,39.6,7.1,27.4,5.9,22
316240407,1310534320160710,ワンショットキラー　　　　　　　　　,4,4,480,6.9,1.7,11.3,2.8,38
316240408,1310542820160710,ジンロックカフェ　　　　　　　　　　,3,2,502,4.6,1.6,3.4,1.6,38
316240409,1310054920160710,サンマルトゥーレ　　　　　　　　　　,8,6,458,12.1,3,9.1,2.3,29
316240410,1310576120160710,ポムローゼ　　　　　　　　　　　　　,0,8,470,25.3,7.9,21.3,5.8,   
316240411,1310270320160710,ヴィリープ　　　　　　　　　　　　　,14,14,524,222.5,79.2,116.8,26.4,9
316240412,1310285120160710,ジョニーハンサム　　　　　　　　　　,6,3,510,5.3,1.8,4.9,1.1,38
316240413,1310909820160710,ナナエ　　　　　　　　　　　　　　　,7,10,418,36.6,8.1,29.5,4.9,29
316240414,1310026020160710,シゲルカンパチ　　　　　　　　　　　,12,15,448,294.3,30.7,114.2,19.2,17
316240415,1310344820160710,スフェーン　　　　　　　　　　　　　,2,5,438,7.5,2,11.7,2.5,42
316240501,1410431020160710,マイネルザウバア　　　　　　　　　　,1,2,426,4.5,1.4,6.4,1.8,36
316240502,1410599020160710,キュイキュイ　　　　　　　　　　　　,4,1,444,1.9,1.1,2,1.3,27
316240503,1410254820160710,サツキジョオウ　　　　　　　　　　　,14,14,462,165.6,18.7,86.1,12.7,-16
316240504,1410312920160710,デジャブ　　　　　　　　　　　　　　,7,12,498,73.3,9.3,45.5,5.8,21
316240505,1410225620160710,ボヌールバトー　　　　　　　　　　　,5,13,412,124.5,15.7,68.2,9,25
316240506,1410598820160710,クインズゴールド　　　　　　　　　　,6,4,422,16.3,2.3,14.9,2.9,26
316240507,1410057520160710,ジュティアン　　　　　　　　　　　　,9,8,422,25.3,4,21.4,4.9,19
316240508,1410074620160710,マイネルラプティス　　　　　　　　　,2,5,462,18.2,2.8,14.7,3.1,31
316240509,1410232320160710,ニシノリヒト　　　　　　　　　　　　,10,9,444,38.3,4.3,23.1,2.4,19
316240510,1410480120160710,ミラドール　　　　　　　　　　　　　,8,10,436,51.2,4.8,33.9,4.7,21
316240511,1411000320160710,ヴァイスジーニー　　　　　　　　　　,12,7,496,25,4,13.9,3.3,13
316240512,1410152220160710,ブルーオーシャン　　　　　　　　　　,11,11,434,55.4,7.7,46.4,4.5,18
316240513,1410567820160710,マツリダダイキチ　　　　　　　　　　,13,3,498,7.5,1.5,8.9,1.9,13
316240514,1410071820160710,パフォーム　　　　　　　　　　　　　,3,6,432,24.8,3.1,23.8,4.3,25
316240601,1410133720160710,エーブインブレム　　　　　　　　　　,13,10,456,55.8,7.6,33.3,5.2,0
316240602,1410163820160710,コロリアージュ　　　　　　　　　　　,14,8,424,48.5,8.4,13.4,2.3,-32
316240603,1410911420160710,ガイディングスター　　　　　　　　　,10,12,456,75.5,10.1,53.4,5.6,7
316240604,1410101320160710,ゴールドサンダー　　　　　　　　　　,12,11,440,66.8,10.6,36,5.2,2
316240605,1410440220160710,マッタナシ　　　　　　　　　　　　　,8,3,470,5.1,1.6,6.2,2.1,18
316240606,1410298120160710,ナムラクロエ　　　　　　　　　　　　,2,6,434,24.5,4.1,16.2,3.6,31
316240607,1410344120160710,タリズマ　　　　　　　　　　　　　　,6,1,464,3.5,1.3,4,1.9,21
316240608,1410099420160710,グッバイサマー　　　　　　　　　　　,3,4,420,6.5,1.6,8.1,2.6,27
316240609,1410046220160710,ニシノオウカン　　　　　　　　　　　,1,2,430,3.8,1.2,4,1.7,35
316240610,1410361820160710,キタノリツメイ　　　　　　　　　　　,4,7,444,28.7,5.2,22.2,4.5,24
316240611,1410503220160710,シルバーストーン　　　　　　　　　　,5,13,464,80.4,13.2,40,6.9,19
316240612,1410652220160710,セガールモチンモク　　　　　　　　　,15,15,444,193.8,30,81.8,9.2,-99
316240613,1410232420160710,カシノレビン　　　　　　　　　　　　,11,14,418,157.5,22.4,64,6.6,7
316240614,1410236020160710,ジェイケイオジョウ　　　　　　　　　,9,5,446,9.9,1.9,13.5,3.4,16
316240615,1410245020160710,ゴウケン　　　　　　　　　　　　　　,7,9,436,50.5,7.4,33.6,6.9,21
316240701,1310305820160710,シゲルヒメコダイ　　　　　　　　　　,8,15,458,183.4,21.7,53,9.8,31
316240702,1310355820160710,シゲルサメイワシ　　　　　　　　　　,12,13,438,102.4,11.9,30.3,5.5,33
316240703,1310486720160710,プラウドフェロー　　　　　　　　　　,7,14,452,122.2,17.7,52.8,8.5,37
316240704,1310193020160710,コスモピクシス　　　　　　　　　　　,3,3,412,7,1.7,9.5,1.9,42
316240705,1310483420160710,キンノツル　　　　　　　　　　　　　,6,10,430,74.5,9.4,26,4.2,37
316240706,1310016220160710,キューノキセキ　　　　　　　　　　　,13,11,446,85.7,10.7,36.4,7.2,31
316240707,1310556420160710,アイトラッキング　　　　　　　　　　,16,8,522,58.3,7.5,35.1,5.2,24
316240708,1310356220160710,ブラウンテヌート　　　　　　　　　　,5,5,466,10.8,2.4,4.1,1.7,32
316240709,1310400720160710,ミュートエアー　　　　　　　　　　　,9,1,450,2.1,1.2,3.3,1.6,34
316240710,1310395820160710,シンキングダンサー　　　　　　　　　,2,2,472,5.5,1.8,10.6,3,41
316240711,1310397820160710,アソングフォーユー　　　　　　　　　,4,4,462,7.4,1.7,8.2,2.9,41
316240712,1310629020160710,ヘヴンリーソード　　　　　　　　　　,15,16,454,234.3,31.1,79.4,14.1,27
316240713,1310179720160710,フィールソーグッド　　　　　　　　　,14,7,504,15.6,2.9,11.8,2.9,32
316240714,1310486820160710,クインズクオーツ　　　　　　　　　　,1,12,440,97.8,13.6,36.2,9,45
316240715,1310132020160710,パステルモーブ　　　　　　　　　　　,10,6,450,12.7,2.8,12.8,2.8,34
316240716,1310293020160710,ニシノタカラモノ　　　　　　　　　　,11,9,494,62.4,7.3,36.2,6.1,33
316240801,1110508620160710,トライアゲイン　　　　　　　　　　　,15,14,508,135.3,28.3,58,9.7,23
316240802,1310604220160710,ナンヨーファミユ　　　　　　　　　　,4,8,458,22.4,4.3,17.6,3.6,47
316240803,1210285520160710,ハイヴォルテージ　　　　　　　　　　,8,11,440,44.3,6.8,28.4,3.9,38
316240804,1310639920160710,コパノビジン　　　　　　　　　　　　,5,5,450,11.7,2.7,15,3.8,42
316240805,1210501520160710,レザンドゥオール　　　　　　　　　　,3,3,510,4.9,1.5,5.2,1.8,50
316240806,1310091820160710,サノノカガヤキ　　　　　　　　　　　,14,6,490,15,3.1,15.2,3,28
316240807,1210405220160710,トゥルーウインド　　　　　　　　　　,2,12,450,45.9,6.8,30.7,6.8,51
316240808,1310220920160710,プライズコレクター　　　　　　　　　,6,4,478,8.1,2.1,12.7,4.1,44
316240809,1310234820160710,アオイプリンス　　　　　　　　　　　,11,2,510,4.3,1.5,4.6,1.8,34
316240810,1310008220160710,ワンパーセント　　　　　　　　　　　,1,1,462,3,1.1,3.6,1.7,53
316240811,1210543420160710,タイセイストーム　　　　　　　　　　,13,10,502,42.9,7.5,38,5.1,34
