racekey,horse_number,horse_name,order_of_finish,popularity,horse_weight,tanshou_odds,hukushou_odds,tanshou_odds_at10,hukushou_odds_at10,IDM
1016150309,1310469420160227,ナムラシャーロット　　　　　　　　　,8,16,384,267.4,30.8,79.1,10.9,25
1016150310,1311003620160227,ジングルベルロック　　　　　　　　　,2,1,446,2.4,1.2,2.4,1.2,38
1016150311,1310145520160227,ウインシガーロ　　　　　　　　　　　,13,8,456,53.9,5.7,38.8,5,20
1016150312,1310394120160227,グリニッチヴィレジ　　　　　　　　　,4,4,420,12.4,1.9,10.3,2.8,32
1016150313,1310078420160227,カノヤパリティ　　　　　　　　　　　,3,6,442,29.7,3.6,29.8,3.6,30
1016150314,1310501620160227,ゲンエイ　　　　　　　　　　　　　　,16,11,410,116.8,13.5,87,11.5,12
1016150315,1310141320160227,サンラポルテ　　　　　　　　　　　　,11,18,432,316.8,24.2,160.5,9.5,19
1016150316,1310245520160227,エイシンウィチタ　　　　　　　　　　,11,12,440,158,14.2,104,10.3,20
1016150317,1310295320160227,スズカエメラルド　　　　　　　　　　,14,9,422,54.6,6.9,31.7,7.6,14
1016150318,1310316420160227,ガールズティアラ　　　　　　　　　　,10,5,456,21.9,3.2,19.5,4,20
1016150401,1310452320160227,イッツマイシャウト　　　　　　　　　,2,6,470,18.1,2.2,15,3.7,36
1016150402,1310438520160227,クマダモン　　　　　　　　　　　　　,16,18,416,240.3,42.4,79.3,15.5,25
1016150403,1310235120160227,エーティーサンダー　　　　　　　　　,1,1,502,1.7,1.1,2.5,1.3,41
1016150404,1310249620160227,チェストケハーツ　　　　　　　　　　,5,3,420,11.3,2.3,19,2.3,32
1016150405,1310902420160227,ウインブルースカイ　　　　　　　　　,9,16,454,187.9,19.9,82.8,10.6,30
1016150406,1310608020160227,フラジョレット　　　　　　　　　　　,7,5,498,16,2.5,7.5,2,28
1016150407,1310365420160227,ルクナバード　　　　　　　　　　　　,3,10,456,58.4,7.4,35.1,8.6,31
1016150408,1310228720160227,コスモロングソード　　　　　　　　　,13,7,426,23.2,2.9,16.2,3.8,28
1016150409,1310505720160227,ラオコーン　　　　　　　　　　　　　,18,15,486,145.6,20,58.1,10.1,25
1016150410,1310221820160227,マイネルディセント　　　　　　　　　,8,9,480,32.7,4.1,27.8,4.7,30
1016150411,1310393920160227,ディアシェダル　　　　　　　　　　　,17,14,406,128.1,19.5,62.3,10.9,24
1016150412,1310431420160227,ゴッツアン　　　　　　　　　　　　　,4,13,480,88.9,10.8,55.5,5.9,33
1016150413,1310378620160227,トモジャハリーフ　　　　　　　　　　,10,8,448,29.5,3.7,22.7,4.8,31
1016150414,1310196020160227,マイネルピオネロ　　　　　　　　　　,6,12,502,76.2,9.6,30.3,5.8,32
1016150415,1310175920160227,アタンドリール　　　　　　　　　　　,12,4,442,14,2.9,9.6,2.6,29
1016150416,1310537620160227,レッドアルバ　　　　　　　　　　　　,14,2,462,5,1.5,5.4,2.2,33
1016150417,1310239420160227,サグラダファミリア　　　　　　　　　,11,11,428,63.8,7.8,35.8,8.9,27
1016150418,1310188920160227,インパット　　　　　　　　　　　　　,15,17,418,193.8,20.6,76,11.6,27
1016150501,1110428120160227,デルマオソマツ　　　　　　　　　　　,14,3,474,8,2.4,6.5,1.8,35
1016150502,1110607020160227,ミラクルアイドル　　　　　　　　　　,10,6,470,12.7,2.8,14.1,3,39
1016150503,1210167520160227,グランデサムライ　　　　　　　　　　,1,4,466,8.7,2.3,6.4,3.2,53
1016150504,1210359220160227,リンガスヴィグラス　　　　　　　　　,2,2,474,3.8,1.3,6.4,2.1,47
1016150505,1010509520160227,キクノブレイン　　　　　　　　　　　,8,12,504,39.2,6.2,16.5,3.2,41
1016150506,1210329820160227,ニホンピロヘーラー　　　　　　　　　,11,5,496,9.9,2.7,14.5,4.9,37
1016150507,1110292920160227,ビットアリエス　　　　　　　　　　　,12,1,456,3.5,1.4,5,2,37
