,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_class_weight,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,154.05201120376586,2.6423511505126953,0.0,0.0,0.1,{1: 1},0.1,"{'C': 0.1, 'class_weight': {1: 1}, 'gamma': 0.1}",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.51210052242688,0.9228783637590808,0.0,0.0
1,355.05210785865785,6.051546096801758,0.0,0.0,0.1,{1: 1},1,"{'C': 0.1, 'class_weight': {1: 1}, 'gamma': 1}",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0870953810443,1.9554649880869563,0.0,0.0
2,462.2362383842468,6.562575483322144,0.0,0.0,0.1,{1: 1},10,"{'C': 0.1, 'class_weight': {1: 1}, 'gamma': 10}",32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.58399188552372,2.4757535707212015,0.0,0.0
3,186.55367035865783,2.5965485095977785,0.34099366325508756,0.48717636746924387,0.1,{1: 5},0.1,"{'C': 0.1, 'class_weight': {1: 5}, 'gamma': 0.1}",4,0.31985294117647056,0.49758919961427195,0.3548387096774194,0.48886827458256027,0.35807860262008734,0.4891891891891892,0.35185185185185186,0.48164335664335667,0.3203463203463203,0.4785918173168411,2.3513478715504625,0.06041084917204293,0.01717398144764101,0.006627967778367786
4,479.49462542533877,6.215955543518066,0.0,1.0,0.1,{1: 5},1,"{'C': 0.1, 'class_weight': {1: 5}, 'gamma': 1}",32,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,151.96132877642435,1.9196948258403272,0.0,0.0
5,453.83735795021056,5.365706920623779,0.0,1.0,0.1,{1: 5},10,"{'C': 0.1, 'class_weight': {1: 5}, 'gamma': 10}",32,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,19.00008983234293,0.05290516210595628,0.0,0.0
6,261.71396923065186,3.306189012527466,0.270294590470107,0.3966221243502487,0.1,{1: 10},0.1,"{'C': 0.1, 'class_weight': {1: 10}, 'gamma': 0.1}",21,0.26058631921824105,0.4080752646021168,0.2585669781931464,0.3996983408748115,0.2667844522968198,0.385331347728965,0.27808471454880296,0.3968017850502045,0.2874564459930314,0.3932038834951456,84.24584165306568,1.0689059871620012,0.010947871033760399,0.007481120436903627
7,493.1802083492279,6.055346298217773,0.32657512159102825,0.9797432271971742,0.1,{1: 10},1,"{'C': 0.1, 'class_weight': {1: 10}, 'gamma': 1}",9,0.30434782608695654,0.9787234042553191,0.2,0.9786710418375718,0.5384615384615384,0.9758735440931781,0.30434782608695654,0.9794745484400657,0.2857142857142857,0.985973597359736,158.20006942917672,2.0034778490041942,0.11276042536647278,0.0033482463541530095
8,567.1942416667938,6.700983381271362,0.13333333333333333,1.0,0.1,{1: 10},10,"{'C': 0.1, 'class_weight': {1: 10}, 'gamma': 10}",31,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,195.49478000391576,2.022439560179793,0.1632993161855452,0.0
9,170.54015426635743,2.8691641807556154,0.2380680872853926,0.3519118530871975,0.1,{1: 15},0.1,"{'C': 0.1, 'class_weight': {1: 15}, 'gamma': 0.1}",29,0.23587223587223588,0.3580427776150015,0.22765196662693682,0.3550159005492917,0.2403598971722365,0.3485148514851485,0.2393397524071527,0.34872521246458926,0.2471190781049936,0.3492605233219568,1.7312320463106783,0.06535196645969975,0.006357518344557432,0.003897363059264401
10,186.3848605632782,6.182753610610962,0.2764269181628369,0.8553900060779785,0.1,{1: 15},1,"{'C': 0.1, 'class_weight': {1: 15}, 'gamma': 1}",20,0.2578125,0.859504132231405,0.2857142857142857,0.8502382573179034,0.30851063829787234,0.8456330399458362,0.2403846153846154,0.8596008258774949,0.2897196261682243,0.8619737750172533,59.89445119437347,2.298449453060817,0.024240042007911966,0.006320473941513786
11,153.95540556907653,5.568918704986572,0.2971203722367802,0.9597470788240823,0.1,{1: 15},10,"{'C': 0.1, 'class_weight': {1: 15}, 'gamma': 10}",19,0.20833333333333334,0.964451313755796,0.3333333333333333,0.9563552833078101,0.4666666666666667,0.9541634835752483,0.25,0.9600307455803229,0.22727272727272727,0.9637345679012346,0.7901910580668372,0.42197508400765027,0.09491064423371302,0.004019730712094186
12,204.41529183387757,2.7029546737670898,0.46056198885980665,0.9179678038076833,1,{1: 1},0.1,"{'C': 1, 'class_weight': {1: 1}, 'gamma': 0.1}",1,0.3111111111111111,0.8996655518394648,0.5681818181818182,0.9157894736842105,0.4473684210526316,0.9340659340659341,0.47619047619047616,0.9087591240875912,0.5,0.9315589353612167,66.62994987618553,0.9347333776182836,0.08473001437333606,0.01317866447056971
13,485.81738715171815,6.138951158523559,0.396311002006124,1.0,1,{1: 1},1,"{'C': 1, 'class_weight': {1: 1}, 'gamma': 1}",2,0.3333333333333333,1.0,0.2857142857142857,1.0,0.625,1.0,0.4375,1.0,0.3,1.0,147.28035010929872,1.9269247553196303,0.12606953920178032,0.0
14,635.8733699798584,6.387365293502808,0.16666666666666666,1.0,1,{1: 1},10,"{'C': 1, 'class_weight': {1: 1}, 'gamma': 10}",30,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.5,1.0,0.0,1.0,194.69606891189213,2.003001305798947,0.21081851067789195,0.0
